order_id,customer_id,order_date,status,total_amount
207,15,2025-09-22,pending,46318.83
208,81,2025-06-27,completed,171126.68
209,90,2025-01-02,cancelled,60673.68
210,72,2026-04-29,pending,28097.58
211,13,2025-02-17,pending,260620.44
212,4,2025-09-15,completed,195652.48
213,17,2026-09-11,pending,138952.17
214,48,2024-12-03,cancelled,28080.99
215,34,2024-10-01,completed,119207.44
216,59,2025-06-04,completed,75653.9
217,52,2024-10-11,cancelled,128813.28
218,85,2024-09-30,cancelled,190150.27
219,67,2025-10-19,completed,96219.41
220,95,2024-10-02,pending,52157.5
221,26,2026-08-05,pending,120238.76
222,80,2025-02-17,pending,156960.15
223,15,2025-08-10,cancelled,127759.04
224,68,2025-12-03,completed,58549.71
225,49,2025-03-05,completed,154144.07
226,93,2026-04-05,pending,104488.09
227,28,2026-05-02,completed,134648.46
228,15,2025-05-04,pending,98853.8
229,58,2024-12-23,pending,162732.44
230,66,2025-06-20,pending,153218.04
231,99,2024-10-05,cancelled,19676.65
232,14,2026-06-10,pending,19987.95
233,56,2026-01-02,cancelled,68128.55
234,28,2024-11-17,completed,578.88
235,43,2025-11-14,pending,239844.26
236,5,2026-02-12,cancelled,5234.91
237,23,2026-03-14,pending,132113.26
238,13,2026-03-29,cancelled,117555.04
239,41,2026-05-30,pending,130701.87
240,8,2025-05-08,completed,88540.01
241,86,2025-07-19,completed,30966.63
242,36,2026-01-12,completed,153470.67
243,59,2024-11-11,completed,162323.83
244,6,2025-09-23,completed,148140.96
245,93,2024-12-28,cancelled,136949.85
246,11,2025-12-28,pending,53453.49
247,72,2025-09-30,completed,31055.6
248,64,2024-10-29,pending,58477.04
249,4,2025-04-21,pending,116127.87
250,99,2026-08-16,pending,110687.79
251,68,2025-11-16,completed,22017.66
252,45,2025-06-09,pending,162997.9
253,94,2026-03-10,pending,148140.59
254,70,2026-02-09,completed,44972.9
255,31,2025-05-02,completed,121764.2
256,8,2025-09-15,cancelled,2214.7
257,96,2025-07-05,cancelled,76911.15
258,98,2026-05-16,completed,107469.57
259,34,2024-12-05,cancelled,51483.84
260,16,2025-04-04,completed,162672.47
261,12,2025-08-31,completed,60449.61
262,9,2025-02-01,cancelled,145184.84
263,62,2026-04-11,completed,50299.94
264,37,2025-03-28,cancelled,83314.66
265,83,2026-07-25,pending,62642.32
266,20,2026-09-07,pending,66844.88
267,24,2026-02-04,cancelled,63238.99
268,80,2025-03-01,cancelled,101278.07
269,38,2026-05-25,pending,13773.75
270,25,2025-09-03,cancelled,31409.46
271,7,2025-08-24,completed,144533.48
272,56,2025-08-21,completed,116201.12
273,49,2024-09-29,completed,78565.66
274,45,2025-11-07,cancelled,116360.61
275,76,2025-03-09,cancelled,2657.64
276,54,2025-06-03,cancelled,34441.92
277,66,2024-11-12,completed,51256.55
278,14,2025-03-10,cancelled,62818.92
279,60,2025-06-20,cancelled,18362.37
280,82,2025-09-20,pending,50236.42
281,83,2025-07-17,completed,40510.78
282,92,2025-12-09,pending,101445.07
283,73,2026-01-18,completed,40113.0
284,94,2026-03-02,pending,9879.84
285,43,2026-03-09,completed,11963.64
286,59,2025-11-05,completed,121045.4
287,15,2026-05-29,cancelled,131000.82
288,45,2025-02-12,cancelled,59728.32
289,98,2024-09-16,pending,153538.38
290,88,2026-03-09,cancelled,84413.75
291,23,2025-03-19,pending,134075.4
292,34,2024-11-02,cancelled,104888.49
293,30,2025-06-16,completed,20652.57
294,34,2025-05-21,pending,143618.6
295,69,2026-07-09,cancelled,83614.6
296,91,2025-11-04,completed,99382.23
297,13,2026-05-21,completed,82413.75
298,10,2026-02-11,pending,174459.58
299,93,2025-01-28,completed,16585.78
300,17,2025-04-13,cancelled,96118.98
301,86,2024-12-15,completed,53537.96
302,58,2025-08-01,cancelled,137860.31
303,10,2025-05-18,completed,209335.28
304,82,2024-12-25,completed,53089.47
305,81,2026-04-26,pending,24960.88
306,21,2025-12-30,cancelled,69740.01
307,16,2026-05-15,completed,771.84
308,55,2025-02-02,pending,181132.01
309,5,2024-11-21,completed,4560.04
310,11,2025-12-20,pending,1285.33
311,58,2026-09-11,cancelled,38366.82
312,66,2025-02-25,completed,29047.95
313,11,2026-03-04,pending,136142.24
314,43,2025-10-31,completed,57577.38
315,94,2025-04-22,cancelled,63568.44
316,70,2025-01-13,pending,26174.55
317,72,2025-12-20,cancelled,5984.99
318,35,2026-07-14,pending,114034.31
319,76,2025-09-22,completed,63556.65
320,34,2025-05-27,cancelled,2657.64
321,54,2026-06-09,cancelled,19915.35
322,51,2026-04-16,pending,141158.99
323,75,2026-05-17,completed,74723.22
324,41,2025-10-09,completed,86883.44
325,58,2026-06-23,pending,88126.82
326,47,2026-06-25,cancelled,73497.44
327,91,2025-06-16,completed,13024.77
328,95,2025-05-12,cancelled,9824.56
329,63,2025-11-22,pending,63606.07
330,71,2026-02-13,completed,78593.02
331,9,2025-11-20,pending,23588.99
332,49,2025-08-28,pending,21853.6
333,51,2025-11-03,completed,196800.72
334,65,2024-11-25,cancelled,189468.02
335,3,2026-03-16,pending,11724.69
336,7,2025-05-13,completed,6884.19
337,26,2024-11-06,cancelled,204176.33
338,92,2026-02-09,cancelled,177459.49
339,90,2024-09-26,cancelled,146945.35
340,24,2026-05-25,cancelled,188936.71
341,94,2025-01-01,cancelled,55619.78
342,74,2026-01-14,pending,152333.63
343,86,2026-08-12,cancelled,100560.72
344,41,2025-05-05,completed,89412.12
345,40,2026-06-14,pending,24552.48
346,6,2025-08-24,completed,30176.22
347,24,2025-10-29,cancelled,101892.47
348,21,2026-08-26,completed,329598.83
349,79,2025-01-13,pending,72239.5
350,79,2026-05-04,completed,23904.78
351,5,2026-04-03,completed,10202.88
352,23,2025-08-18,cancelled,175812.7
353,54,2025-07-29,pending,78302.9
354,78,2026-01-27,completed,36365.52
355,81,2026-05-18,completed,124071.38
356,34,2025-09-07,completed,101522.16
357,15,2025-10-26,completed,54103.46
358,3,2025-01-25,cancelled,34324.88
359,37,2024-10-20,cancelled,61991.12
360,41,2024-10-07,completed,47114.19
361,1,2026-02-25,pending,81851.72
362,56,2025-10-21,cancelled,54510.36
363,40,2025-08-11,pending,115451.11
364,37,2025-12-03,pending,49110.57
365,26,2026-05-18,pending,91400.9
366,84,2025-04-30,cancelled,9682.65
367,5,2025-11-10,cancelled,81008.18
368,34,2025-08-07,cancelled,65553.56
369,54,2025-12-11,pending,79057.95
370,18,2026-05-21,pending,78837.76
371,44,2026-07-19,pending,58395.9
372,60,2025-06-18,cancelled,68200.79
373,15,2026-03-07,completed,187058.47
374,31,2025-09-28,pending,230453.73
375,81,2025-08-23,cancelled,8596.49
376,77,2026-03-20,cancelled,159621.7
377,37,2024-10-05,completed,103941.76
378,46,2025-11-07,cancelled,24090.93
379,84,2024-09-29,cancelled,249777.85
380,65,2026-03-08,completed,74114.79
381,23,2026-03-30,cancelled,179785.54
382,53,2026-04-22,cancelled,28080.64
383,27,2026-06-09,completed,106991.9
384,24,2025-08-25,cancelled,32535.28
385,38,2025-05-23,cancelled,126184.48
386,88,2026-07-24,pending,107988.72
387,4,2026-05-09,cancelled,156518.58
388,95,2025-08-03,completed,17240.23
389,15,2026-01-19,completed,69030.97
390,45,2026-04-01,pending,68856.02
391,43,2024-10-30,pending,124986.42
392,87,2025-05-30,pending,168966.22
393,62,2026-03-14,cancelled,117874.56
394,49,2025-07-12,completed,16090.02
395,31,2025-01-12,cancelled,86161.82
396,53,2024-11-20,cancelled,128762.35
397,70,2025-12-10,completed,216994.79
398,1,2025-12-25,completed,80027.48
399,41,2025-04-19,pending,46797.57
400,12,2025-09-25,pending,771.84
401,32,2025-07-09,cancelled,248827.67
402,100,2026-07-26,pending,156331.43
403,79,2026-08-01,pending,5779.93
404,85,2026-06-08,completed,110124.21
405,21,2025-11-10,cancelled,74841.61
406,44,2025-09-15,pending,27132.59
407,61,2026-06-28,pending,80043.05
408,84,2025-12-22,completed,16975.72
409,13,2026-05-16,pending,202169.04
410,80,2024-11-14,cancelled,7830.29
411,5,2025-06-06,cancelled,2313.67
412,15,2026-02-10,pending,175082.89
413,71,2026-08-02,pending,90886.6
414,72,2025-04-09,completed,130881.01
415,93,2025-11-10,completed,106288.25
416,70,2024-11-27,completed,107629.69
417,27,2026-02-11,cancelled,95598.49
418,98,2026-07-26,cancelled,150003.57
419,28,2025-05-29,completed,69476.61
420,85,2026-05-30,pending,52425.12
421,54,2025-12-16,pending,100974.2
422,9,2025-02-08,cancelled,126656.06
423,27,2024-10-11,completed,178618.48
424,17,2025-07-14,completed,152604.49
425,91,2026-03-22,completed,6949.98
426,35,2025-04-22,pending,82639.5
427,86,2025-01-30,pending,271915.17
428,57,2025-12-14,completed,186276.22
429,76,2024-12-07,pending,144961.91
430,48,2025-10-06,pending,110626.72
431,15,2026-04-10,cancelled,76329.26
432,94,2026-08-25,completed,142271.25
433,95,2025-12-17,completed,42216.96
434,56,2024-11-10,pending,104347.12
435,27,2025-10-06,pending,93478.77
436,43,2026-03-09,completed,135510.75
437,41,2025-04-26,completed,104770.31
438,74,2026-02-20,pending,107889.78
439,69,2026-09-08,pending,82368.88
440,93,2026-05-24,completed,76386.19
441,78,2026-01-19,pending,73828.38
442,46,2026-06-09,cancelled,93833.15
443,87,2024-12-14,completed,124016.22
444,65,2025-12-20,completed,53984.08
445,41,2026-06-06,cancelled,64360.9
446,49,2025-01-16,cancelled,53091.84
447,17,2025-05-06,completed,77769.72
448,31,2024-11-25,completed,94971.12
449,11,2025-11-25,pending,125666.77
450,80,2025-06-19,cancelled,55511.88
451,57,2024-11-09,pending,10202.88
452,89,2025-06-15,completed,142206.71
453,37,2025-06-01,cancelled,173265.23
454,43,2024-09-30,cancelled,13882.02
455,56,2025-05-03,completed,2935.46
456,60,2025-12-11,completed,51968.84
457,43,2025-12-03,completed,16828.62
458,11,2025-05-19,pending,153049.96
459,26,2025-01-02,cancelled,126103.37
460,92,2024-11-29,pending,144952.45
461,69,2026-07-19,completed,84409.74
462,26,2025-06-24,cancelled,150912.72
463,55,2026-09-06,cancelled,146254.9
464,96,2025-09-09,completed,80675.36
465,79,2026-05-21,completed,124303.32
466,69,2026-02-08,completed,74326.5
467,65,2026-06-10,pending,176820.76
468,97,2024-11-13,pending,5141.32
469,59,2025-05-26,cancelled,135502.56
470,83,2024-10-27,pending,14204.02
471,95,2025-06-22,completed,190240.32
472,49,2025-01-28,pending,195403.67
473,33,2026-05-08,completed,126674.53
474,78,2025-11-05,cancelled,47370.75
475,50,2026-07-15,cancelled,148087.69
476,9,2025-02-25,pending,141208.08
477,86,2026-05-30,pending,139310.76
478,14,2024-12-15,pending,131365.76
479,73,2025-10-11,cancelled,144254.68
480,34,2026-06-23,pending,87115.6
481,75,2025-05-11,cancelled,146709.47
482,9,2024-11-27,cancelled,91071.87
483,4,2025-03-19,cancelled,46028.36
484,7,2025-11-09,cancelled,154282.61
485,71,2026-04-15,cancelled,113364.72
486,83,2024-10-12,completed,99123.45
487,35,2024-09-21,completed,4060.88
488,59,2026-04-12,pending,14154.3
489,9,2025-12-12,completed,157734.89
490,73,2026-01-08,completed,13710.27
491,82,2026-06-02,completed,21852.37
492,62,2025-08-25,cancelled,61937.18
493,43,2025-02-14,completed,66954.13
494,19,2025-03-29,cancelled,43079.59
495,44,2025-12-23,completed,28139.93
496,40,2026-04-05,pending,29343.2
497,65,2026-01-28,cancelled,142330.76
498,86,2025-03-27,completed,22017.66
499,2,2026-09-14,completed,184195.46
500,79,2026-08-25,pending,225076.34
